Name,Star,Number,AREA,URL,Score
Thalassa,4.2,36304,GOA,https://www.google.com/maps/place/Thalassa/data=!4m7!3m6!1s0x3bbfe970ad8bd35f:0x60425614f6bda5bc!8m2!3d15.6163537!4d73.7555322!16s%2Fg%2F1tdfx4t6!19sChIJX9OLrXDpvzsRvKW99hRWQmA?authuser=0&hl=en&rclk=1,152476.8
The Fisherman's Wharf Panjim,4.6,18065,GOA,https://www.google.com/maps/place/The+Fisherman%27s+Wharf+Panjim/data=!4m7!3m6!1s0x3bbfc08d417446e7:0xd26b6f343d36b884!8m2!3d15.4938099!4d73.8195043!16s%2Fg%2F11bccmmn6z!19sChIJ50Z0QY3AvzsRhLg2PTRva9I?authuser=0&hl=en&rclk=1,83099
Mikey's Place Bar & Restaurant,4.8,16882,GOA,https://www.google.com/maps/place/Mikey%27s+Place+Bar+%26+Restaurant/data=!4m7!3m6!1s0x3bbfc1940a7d4453:0x1c1324f65e9a7b68!8m2!3d15.5082232!4d73.7699449!16s%2Fg%2F11b6d_3ff8!19sChIJU0R9CpTBvzsRaHuaXvYkExw?authuser=0&hl=en&rclk=1,81033.6
Ritz Classic Panjim,4.2,16759,GOA,https://www.google.com/maps/place/Ritz+Classic+Panjim/data=!4m7!3m6!1s0x3bbfc0892b7aac1b:0x711b75fe40723402!8m2!3d15.4985968!4d73.8265877!16s%2Fg%2F1tf800_r!19sChIJG6x6K4nAvzsRAjRyQP51G3E?authuser=0&hl=en&rclk=1,70387.8
The Fishermans Wharf,4.5,14095,GOA,https://www.google.com/maps/place/The+Fishermans+Wharf/data=!4m7!3m6!1s0x3bbe4c8e3c183545:0x86a5d36c0de501c4!8m2!3d15.1576183!4d73.9521909!16s%2Fg%2F1tlgwdkv!19sChIJRTUYPI5MvjsRxAHlDWzTpYY?authuser=0&hl=en&rclk=1,63427.5
Navtara Veg Restaurant,4.3,13210,GOA,https://www.google.com/maps/place/Navtara+Veg+Restaurant/data=!4m7!3m6!1s0x3bbfea08838ee167:0xeee7570fcdc3ebcb!8m2!3d15.5487446!4d73.7598815!16s%2Fg%2F1pwftdcjy!19sChIJZ-GOgwjqvzsRy-vDzQ9X5-4?authuser=0&hl=en&rclk=1,56803
Navtara Veg Restaurant,4.3,11638,GOA,https://www.google.com/maps/place/Navtara+Veg+Restaurant/data=!4m7!3m6!1s0x3bbfb3c40fdec6d1:0xd4788c8ba549b5e7!8m2!3d15.2716763!4d73.9660935!16s%2Fg%2F1262w4b22!19sChIJ0cbeD8SzvzsR57VJpYuMeNQ?authuser=0&hl=en&rclk=1,50043.4
Navtara Veg Restaurant,4.2,11444,GOA,https://www.google.com/maps/place/Navtara+Veg+Restaurant/data=!4m7!3m6!1s0x3bbfc08bf3ef35f5:0xde2cf6f89202f328!8m2!3d15.4994671!4d73.8231022!16s%2Fg%2F1tfgbpbq!19sChIJ9TXv84vAvzsRKPMCkvj2LN4?authuser=0&hl=en&rclk=1,48064.8
Copperleaf Porvorim,4.4,10389,GOA,https://www.google.com/maps/place/Copperleaf+Porvorim/data=!4m7!3m6!1s0x3bbfc022a91fe69f:0x6884c44fa19ae2ac!8m2!3d15.5388808!4d73.8184801!16s%2Fg%2F11cjp7kpl1!19sChIJn-YfqSLAvzsRrOKaoU_EhGg?authuser=0&hl=en&rclk=1,45711.6
Kokni Kanteen Goa,4.3,10234,GOA,https://www.google.com/maps/place/Kokni+Kanteen+Goa/data=!4m7!3m6!1s0x3bbfc08efc3d27b7:0xbe7c3ef9f3eb1a76!8m2!3d15.496707!4d73.8269451!16s%2Fg%2F11cpfdy1d5!19sChIJtyc9_I7AvzsRdhrr8_k-fL4?authuser=0&hl=en&rclk=1,44006.2
