URL,Name,Star,Number,AREA
https://www.google.com/maps/place/Moksha+restaurant/data=!4m7!3m6!1s0x3bbfc174062d33f3:0xf599f1fb6883c786!8m2!3d15.5246651!4d73.826833!16s%2Fg%2F11nxvcy67r!19sChIJ8zMtBnTBvzsRhseDaPvxmfU?authuser=0&hl=en&rclk=1,Moksha restaurant,4.6,684,
https://www.google.com/maps/place/Turmeric+Kitchen+%26+Bar/data=!4m7!3m6!1s0x3bbfc1f8f243bfa1:0x23342bef1636549b!8m2!3d15.5264278!4d73.826179!16s%2Fg%2F11r9gc_dny!19sChIJob9D8vjBvzsRm1Q2Fu8rNCM?authuser=0&hl=en&rclk=1,Turmeric Kitchen & Bar,4.2,1140,
https://www.google.com/maps/place/Charcoal+Chicken/data=!4m7!3m6!1s0x3bbfc1f7ef285565:0xd01194ea33775a07!8m2!3d15.5265765!4d73.826147!16s%2Fg%2F11p6xs3lhz!19sChIJZVUo7_fBvzsRB1p3M-qUEdA?authuser=0&hl=en&rclk=1,Charcoal Chicken,4.6,3019,
https://www.google.com/maps/place/Ritz+Classic+Mall+De+Goa/data=!4m7!3m6!1s0x3bbfc06ce1f55fcb:0xfbf4b39fda891dd!8m2!3d15.525337!4d73.8273565!16s%2Fg%2F11c37zq8y1!19sChIJy1_14WzAvzsR3ZGo_TlLvw8?authuser=0&hl=en&rclk=1,Ritz Classic Mall De Goa,4.2,3454,
https://www.google.com/maps/place/Casa+JeRi/data=!4m7!3m6!1s0x3bbfc1a301d15a95:0xb5e3b67b730c23aa!8m2!3d15.5306991!4d73.8279037!16s%2Fg%2F11n_wcw85y!19sChIJlVrRAaPBvzsRqiMMc3u247U?authuser=0&hl=en&rclk=1,Casa JeRi,4.4,458,
https://www.google.com/maps/place/Workshop+Restaurant/data=!4m7!3m6!1s0x3bbfc0623b7c6537:0x1ae616ecadb98e4!8m2!3d15.5106266!4d73.8348024!16s%2Fg%2F11fz9cf5qw!19sChIJN2V8O2LAvzsR5Jjbym5hrgE?authuser=0&hl=en&rclk=1,Workshop Restaurant,4.5,1901,
https://www.google.com/maps/place/Navratna+Pure+Veg+restaurant/data=!4m7!3m6!1s0x3bbfc06e41d5c0cd:0x49310e1ec8229aa5!8m2!3d15.5204375!4d73.8281875!16s%2Fg%2F11f10nygq0!19sChIJzcDVQW7AvzsRpZoiyB4OMUk?authuser=0&hl=en&rclk=1,Navratna Pure Veg restaurant,4.0,7335,
https://www.google.com/maps/place/Atlanta+Bar+%26+Restaurant/data=!4m7!3m6!1s0x3bbfc18d92b18047:0x19f36bd2d79934a!8m2!3d15.5192909!4d73.8352717!16s%2Fg%2F11j4schhnc!19sChIJR4Cxko3BvzsRSpN5Lb02nwE?authuser=0&hl=en&rclk=1,Atlanta Bar & Restaurant,4.3,106,
https://www.google.com/maps/place/O+Coqueiro/data=!4m7!3m6!1s0x3bbfeca855555555:0x1ef47959f1bd4fce!8m2!3d15.531895!4d73.82484!16s%2Fg%2F1tddqmzv!19sChIJVVVVVajsvzsRzk-98Vl59B4?authuser=0&hl=en&rclk=1,O Coqueiro,4.2,2716,
https://www.google.com/maps/place/Lemon+Chilli/data=!4m7!3m6!1s0x3bbfc1e7670272f5:0x95d505f236fa2533!8m2!3d15.5300842!4d73.8229775!16s%2Fg%2F11m7pk6g1x!19sChIJ9XICZ-fBvzsRMyX6NvIF1ZU?authuser=0&hl=en&rclk=1,Lemon Chilli,4.8,1072,
