Name,Star,Number,AREA,URL
Filomena's Kitchen,4.4,532,"Airport, Dabolim",https://www.google.com/maps/search/Filomena%27s+Kitchen+Airport%2C+Dabolim
Joet's Bar & Restaurant,4.1,3200,"Airport, Dabolim",https://www.google.com/maps/search/Joet%27s+Bar+%26+Restaurant+Airport%2C+Dabolim
Kailash Parbat,3.8,70,"Airport, Dabolim",https://www.google.com/maps/search/Kailash+Parbat+Airport%2C+Dabolim
John's Seagull,4.1,1900,"Airport, Dabolim",https://www.google.com/maps/search/John%27s+Seagull+Airport%2C+Dabolim
Café Goodluck,3.9,78,"Airport, Dabolim",https://www.google.com/maps/search/Caf%C3%A9+Goodluck+Airport%2C+Dabolim
The Temptation Dabolim - 24x7 Complete Food Shop,4.1,812,"Airport, Dabolim",https://www.google.com/maps/search/The+Temptation+Dabolim+-+24x7+Complete+Food+Shop+Airport%2C+Dabolim
Wrapafella,4.2,48,"Airport, Dabolim",https://www.google.com/maps/search/Wrapafella+Airport%2C+Dabolim
Claudi's Corner,4.2,2200,"Airport, Dabolim",https://www.google.com/maps/search/Claudi%27s+Corner+Airport%2C+Dabolim
"Highway K'tchen, Dabolim - Dine In & Take-Away",3.9,1900,"Airport, Dabolim",https://www.google.com/maps/search/Highway+K%27tchen%2C+Dabolim+-+Dine+In+%26+Take-Away+Airport%2C+Dabolim
Biryani Streat Safari,4.0,1300,"Airport, Dabolim",https://www.google.com/maps/search/Biryani+Streat+Safari+Airport%2C+Dabolim
Sheela Restaurant & Bar,4.0,4700,"Airport, Dabolim",https://www.google.com/maps/search/Sheela+Restaurant+%26+Bar+Airport%2C+Dabolim
MANJUNATH AIRLOUNGE,3.3,1100,"Airport, Dabolim",https://www.google.com/maps/search/MANJUNATH+AIRLOUNGE+Airport%2C+Dabolim
Suchi's Kitchen,4.6,20,"Airport, Dabolim",https://www.google.com/maps/search/Suchi%27s+Kitchen+Airport%2C+Dabolim
FODNI Flavours of Goa,4.3,339,"Airport, Dabolim",https://www.google.com/maps/search/FODNI+Flavours+of+Goa+Airport%2C+Dabolim
HOT CHIX,4.5,30,"Airport, Dabolim",https://www.google.com/maps/search/HOT+CHIX+Airport%2C+Dabolim
Shri Krishna Pure Veg Restaurant,3.9,1400,"Airport, Dabolim",https://www.google.com/maps/search/Shri+Krishna+Pure+Veg+Restaurant+Airport%2C+Dabolim
Subway Airport Food Court,2.1,51,"Airport, Dabolim",https://www.google.com/maps/search/Subway+Airport+Food+Court+Airport%2C+Dabolim
Mulla's Biryani,4.5,45,"Airport, Dabolim",https://www.google.com/maps/search/Mulla%27s+Biryani+Airport%2C+Dabolim
Curry kitchen,1.6,19,"Airport, Dabolim",https://www.google.com/maps/search/Curry+kitchen+Airport%2C+Dabolim
