URL,Name,Star,Number,AREA,Score
https://www.google.com/maps/place/Hotel+Anandashram/data=!4m7!3m6!1s0x3bbfc0860b1b1e95:0xb5dcf479a66ae19d!8m2!3d15.4995547!4d73.8314969!16s%2Fg%2F124yjk1np!19sChIJlR4bC4bAvzsRneFqpnn03LU?authuser=0&hl=en&rclk=1,Hotel Anandashram,4.2,818,"Altinho, Panaji, Goa",3435.6
https://www.google.com/maps/place/THE+OLIVE%27S+MULTI+CUISINE+AC+RESTAURANT+%26+FOOD+DELIVERY+AVAILABLE/data=!4m7!3m6!1s0x3bbe5b50fc5c1811:0x779bc11957c95c65!8m2!3d15.0103759!4d74.0264865!16s%2Fg%2F11y24hgkcy!19sChIJERhc_FBbvjsRZVzJVxnBm3c?authuser=0&hl=en&rclk=1,THE OLIVE'S MULTI CUISINE AC RESTAURANT & FOOD DELIVERY AVAILABLE,4.8,714,"Loliem, Goa",3427.2
https://www.google.com/maps/place/Cafe+Tato+since+1913+%28Patto%29/data=!4m7!3m6!1s0x3bbfc100a767e173:0x9d09b4f0dbda0e7a!8m2!3d15.4937495!4d73.8358558!16s%2Fg%2F11rj3r29sy!19sChIJc-FnpwDBvzsReg7a2_C0CZ0?authuser=0&hl=en&rclk=1,Cafe Tato since 1913 (Patto),4.4,778,"Cavelossim, Goa",3423.2
https://www.google.com/maps/place/Kokum+Curry+Panjim/data=!4m7!3m6!1s0x3bbfc15f15051d03:0xc9368443c175c9cc!8m2!3d15.4997319!4d73.8278928!16s%2Fg%2F11tsxl4rx0!19sChIJAx0FFV_BvzsRzMl1wUOENsk?authuser=0&hl=en&rclk=1,Kokum Curry Panjim,4.4,773,"Cavelossim, Goa",3401.2
https://www.google.com/maps/place/Antique+Mardol+Ponje/data=!4m7!3m6!1s0x3bbfc12f7746c3b9:0x11909eda532bfc3d!8m2!3d15.4966424!4d73.8354173!16s%2Fg%2F11q4c76s0c!19sChIJucNGdy_BvzsRPfwrU9qekBE?authuser=0&hl=en&rclk=1,Antique Mardol Ponje,4.1,827,"Cavelossim, Goa",3390.7
https://www.google.com/maps/place/Godinho+Bar+and+Restaurant/data=!4m7!3m6!1s0x3bbfc089285f43b9:0x8958faa9ab4246bd!8m2!3d15.4995386!4d73.8271152!16s%2Fg%2F11b6npj5g1!19sChIJuUNfKInAvzsRvUZCq6n6WIk?authuser=0&hl=en&rclk=1,Godinho Bar and Restaurant,4.2,804,"Cavelossim, Goa",3376.8
https://www.google.com/maps/place/Fish+land/data=!4m7!3m6!1s0x3bbfb42000283fe7:0x50f25a09c3152830!8m2!3d15.2837886!4d73.9128228!16s%2Fg%2F11c313dylx!19sChIJ5z8oACC0vzsRMCgVwwla8lA?authuser=0&hl=en&rclk=1,Fish land,4.0,843,"Colva, Goa",3372.0
https://www.google.com/maps/place/Sai+leela+veg+non%2Fveg+ac+family+restaurant/data=!4m7!3m6!1s0x3bbfeba77a370637:0xd55f4164d5070bec!8m2!3d15.5454489!4d73.7644664!16s%2Fg%2F11fctc26cn!19sChIJNwY3eqfrvzsR7AsH1WRBX9U?authuser=0&hl=en&rclk=1,Sai leela veg non/veg ac family restaurant,4.5,743,"Calangute, Goa",3343.5
https://www.google.com/maps/place/Sheetal+Bar+And+Restaurant/data=!4m7!3m6!1s0x3bbfa51f1e68d65f:0x310c7d6fc9bcbbbd!8m2!3d15.4268069!4d74.0562486!16s%2Fg%2F11cs6chg1c!19sChIJX9ZoHh-lvzsRvbu8yW99DDE?authuser=0&hl=en&rclk=1,Sheetal Bar And Restaurant,4.0,832,"Usgao, Goa",3328.0
https://www.google.com/maps/place/Martin%27s+Place/data=!4m7!3m6!1s0x3bbfb3004ddf7ea5:0xd1828dbf9804e793!8m2!3d15.2410567!4d73.9807362!16s%2Fg%2F11cs9yqn5_!19sChIJpX7fTQCzvzsRk-cEmL-NgtE?authuser=0&hl=en&rclk=1,Martin's Place,4.5,724,"Navelim Camp,goa",3258.0
