URL,Name,Star,Number,AREA,Score,ID
https://www.google.com/maps/place/Britto%27s+Restaurant+:-+Indulge+in+Authentic+Goan+Flavours+%26+Lip+Smacking+Signature+Cocktails/data=!4m7!3m6!1s0x3bbfea1ddfc53547:0x4af2a99129e6d044!8m2!3d15.5614892!4d73.7497345!16s%2Fg%2F11b7twst9v!19sChIJRzXF3x3qvzsRRNDmKZGp8ko?authuser=0&hl=en&rclk=1,Britto's Restaurant :- Indulge in Authentic Goan Flavours & Lip Smacking Signature Cocktails,4.3,35841,Bazar Ponda,154116.3,20250205225245_1
https://www.google.com/maps/place/Thalassa/data=!4m7!3m6!1s0x3bbfe970ad8bd35f:0x60425614f6bda5bc!8m2!3d15.6163537!4d73.7555322!16s%2Fg%2F1tdfx4t6!19sChIJX9OLrXDpvzsRvKW99hRWQmA?authuser=0&hl=en&rclk=1,Thalassa,4.2,36303,Corlim Ind. Estate,152472.6,7c77341073733ad41c65bf3ef364f5dc
https://www.google.com/maps/place/Fat+Fish/data=!4m7!3m6!1s0x3bbfea0e2191de7f:0x2a9fa3016cd1ac67!8m2!3d15.55654!4d73.7636819!16s%2Fg%2F1pxq83w10!19sChIJf96RIQ7qvzsRZ6zRbAGjnyo?authuser=0&hl=en&rclk=1,Fat Fish,4.1,30821,Arpora,126366.1,5518a185135f2f649c8304d119b872e4
https://www.google.com/maps/place/Martin%27s+Corner/data=!4m7!3m6!1s0x3bbfb6dda67ab363:0x7be42cfd4e9de95!8m2!3d15.3037876!4d73.9143001!16s%2Fg%2F11b5wkpk7y!19sChIJY7N6pt22vzsRld7p1M9Cvgc?authuser=0&hl=en&rclk=1,Martin's Corner,4.4,22672,Cansaulim,99756.8,443d9dc62c4cccecfbcb29bff3323a82
https://www.google.com/maps/place/The+Fisherman%27s+Wharf+Panjim/data=!4m7!3m6!1s0x3bbfc08d417446e7:0xd26b6f343d36b884!8m2!3d15.4938099!4d73.8195043!16s%2Fg%2F11bccmmn6z!19sChIJ50Z0QY3AvzsRhLg2PTRva9I?authuser=0&hl=en&rclk=1,The Fisherman's Wharf Panjim,4.6,18066,Corlim Ind. Estate,83103.6,7e02121422e4277d4057936087684249
https://www.google.com/maps/place/Mikey%27s+Place+Bar+%26+Restaurant/data=!4m7!3m6!1s0x3bbfc1940a7d4453:0x1c1324f65e9a7b68!8m2!3d15.5082232!4d73.7699449!16s%2Fg%2F11b6d_3ff8!19sChIJU0R9CpTBvzsRaHuaXvYkExw?authuser=0&hl=en&rclk=1,Mikey's Place Bar & Restaurant,4.8,16882,Corlim Ind. Estate,81033.6,20250205225417_6
https://www.google.com/maps/place/Ritz+Classic+Panjim/data=!4m7!3m6!1s0x3bbfc0892b7aac1b:0x711b75fe40723402!8m2!3d15.4985968!4d73.8265877!16s%2Fg%2F1tf800_r!19sChIJG6x6K4nAvzsRAjRyQP51G3E?authuser=0&hl=en&rclk=1,Ritz Classic Panjim,4.2,16759,Corlim Ind. Estate,70387.8,20250205225434_7
https://www.google.com/maps/place/The+Fishermans+Wharf/data=!4m7!3m6!1s0x3bbe4c8e3c183545:0x86a5d36c0de501c4!8m2!3d15.1576183!4d73.9521909!16s%2Fg%2F1tlgwdkv!19sChIJRTUYPI5MvjsRxAHlDWzTpYY?authuser=0&hl=en&rclk=1,The Fishermans Wharf,4.5,14098,Corlim Ind. Estate,63441.0,d87dbb240363f492b40324c05da198c9
https://www.google.com/maps/place/Grand+Hyatt+Goa/data=!4m10!3m9!1s0x3bbfb8a991555555:0xb9238d62be942f9a!5m2!4m1!1i2!8m2!3d15.4513855!4d73.8523614!16s%2Fm%2F0_fnjqm!19sChIJVVVVkam4vzsRmi-UvmKNI7k?authuser=0&hl=en&rclk=1,Grand Hyatt Goa,4.6,12455,Bambolim Camp,57293.0,20250205225509_9
https://www.google.com/maps/place/Club+Mahindra+Resort+-+Varca+Beach+-+Goa/data=!4m10!3m9!1s0x3bbfb49c231f19c9:0xf110267798f3e133!5m2!4m1!1i2!8m2!3d15.2234517!4d73.9335584!16s%2Fg%2F1tf38z_8!19sChIJyRkfI5y0vzsRM-HzmHcmEPE?authuser=0&hl=en&rclk=1,Club Mahindra Resort - Varca Beach - Goa,4.5,12541,Varca,56434.5,20250205225539_10
https://www.google.com/maps/place/Bogmallo+Beach+Resort+Goa/data=!4m10!3m9!1s0x3bbfb8dc362e6adf:0x86d89635f9ff51c1!5m2!4m1!1i2!8m2!3d15.3687229!4d73.8354268!16s%2Fg%2F1vzg0pmg!19sChIJ32ouNty4vzsRwVH_-TWW2IY?authuser=0&hl=en&rclk=1,Bogmallo Beach Resort Goa,4.1,12867,Bogmalo,52754.7,bcb66121df884d22dea4ada71a54e663
https://www.google.com/maps/place/Navtara+Veg+Restaurant/data=!4m7!3m6!1s0x3bbfebf2f65325fb:0xe370a0f0830c05d5!8m2!3d15.5908581!4d73.8063046!16s%2Fg%2F11g0mvfdbh!19sChIJ-yVT9vLrvzsR1QUMg_CgcOM?authuser=0&hl=en&rclk=1,Navtara Veg Restaurant,4.4,11776,Tivim,51814.4,07310af3f1686a3991afa976de4362c5
https://www.google.com/maps/place/Navtara+Veg+Restaurant/data=!4m7!3m6!1s0x3bbfb3c40fdec6d1:0xd4788c8ba549b5e7!8m2!3d15.2716763!4d73.9660935!16s%2Fg%2F1262w4b22!19sChIJ0cbeD8SzvzsR57VJpYuMeNQ?authuser=0&hl=en&rclk=1,Navtara Veg Restaurant,4.3,11638,Aquem,50043.4,174f63c4e8f4668508b8f9a08de8c2f5
"https://www.google.com/maps/place/ITC+Grand+Goa,+a+Luxury+Collection+Resort+%26+Spa,+Goa/data=!4m10!3m9!1s0x3bbfb72982921aef:0xf29c3c92a99bdb98!5m2!4m1!1i2!8m2!3d15.3277954!4d73.8988772!16s%2Fg%2F11fhybx8hv!19sChIJ7xqSgim3vzsRmNubqZI8nPI?authuser=0&hl=en&rclk=1","ITC Grand Goa, a Luxury Collection Resort & Spa, Goa",4.7,10615,Cansaulim,49890.5,20250205225730_14
https://www.google.com/maps/place/Navtara+Veg+Restaurant/data=!4m7!3m6!1s0x3bbfc08bf3ef35f5:0xde2cf6f89202f328!8m2!3d15.4994671!4d73.8231022!16s%2Fg%2F1tfgbpbq!19sChIJ9TXv84vAvzsRKPMCkvj2LN4?authuser=0&hl=en&rclk=1,Navtara Veg Restaurant,4.2,11444,Goa Velha,48064.8,620771d20f8516c344b444696281a334
https://www.google.com/maps/place/Copperleaf+Porvorim/data=!4m7!3m6!1s0x3bbfc022a91fe69f:0x6884c44fa19ae2ac!8m2!3d15.5388808!4d73.8184801!16s%2Fg%2F11cjp7kpl1!19sChIJn-YfqSLAvzsRrOKaoU_EhGg?authuser=0&hl=en&rclk=1,Copperleaf Porvorim,4.4,10389,Bazar Ponda,45711.6,0f7eb71dd72d7d114822759304cfedd4
https://www.google.com/maps/place/Kokni+Kanteen+Goa/data=!4m7!3m6!1s0x3bbfc08efc3d27b7:0xbe7c3ef9f3eb1a76!8m2!3d15.496707!4d73.8269451!16s%2Fg%2F11cpfdy1d5!19sChIJtyc9_I7AvzsRdhrr8_k-fL4?authuser=0&hl=en&rclk=1,Kokni Kanteen Goa,4.3,10235,Ribandar,44010.5,371eab1a8593ea3d6d02f567191b4d59
https://www.google.com/maps/place/Souza+Lobo+-+Since+1932/data=!4m7!3m6!1s0x3bbfc1fd8f017db9:0xcd08aa8092949e62!8m2!3d15.5443879!4d73.7557495!16s%2Fg%2F1tm283wb!19sChIJuX0Bj_3BvzsRYp6UkoCqCM0?authuser=0&hl=en&rclk=1,Souza Lobo - Since 1932,4.2,10267,Corlim Ind. Estate,43121.4,69974e3025e7094f5150e8de545c68e7
https://www.google.com/maps/place/The+Black+Sheep+Bistro/data=!4m7!3m6!1s0x3bbfc08e89f554f7:0xd3b953aaf89bd71!8m2!3d15.4887729!4d73.8117277!16s%2Fg%2F1pxwr82cl!19sChIJ91T1iY7AvzsRcb2JrzqVOw0?authuser=0&hl=en&rclk=1,The Black Sheep Bistro,4.6,8943,Goa Velha,41137.8,92191a6ed7177f80e645f4c9445ce2c0
https://www.google.com/maps/place/Calamari+Bathe+%26+Binge/data=!4m7!3m6!1s0x3bbfc19e50b0e7af:0x2c03c7ed9dc79791!8m2!3d15.5062018!4d73.7667871!16s%2Fg%2F1tdn2jt2!19sChIJr-ewUJ7BvzsRkZfHne3HAyw?authuser=0&hl=en&rclk=1,Calamari Bathe & Binge,4.4,8966,Bambolim Camp,39450.4,830aa2b15c419b52dc131f06ccde61d5
https://www.google.com/maps/place/The+Cape+Goa/data=!4m10!3m9!1s0x3bbe4957274c27e9:0xf244711ae61dd6d9!5m2!4m1!1i2!8m2!3d15.098846!4d73.9268549!16s%2Fg%2F11g6bv1_sk!19sChIJ6SdMJ1dJvjsR2dYd5hpxRPI?authuser=0&hl=en&rclk=1,The Cape Goa,4.6,8568,Corlim Ind. Estate,39412.8,20250205230014_21
